 extension_name, publisher, version, toolReferenceName, tool_name, canBeReferencedInPrompt, inputSchema.properties, modelDescription
al,ms-dynamics-smb,17.0.1869541,al_finish_snapshot_debugging,al_finishsnapshotdebugging,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Finishes an active snapshot debugging session via the AL extension command."
al,ms-dynamics-smb,17.0.1869541,al_go,al_go,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Executes the AL: Go! command to initialize an AL project. This command is used to start a new AL project."
al,ms-dynamics-smb,17.0.1869541,al_new_project,al_newproject,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Creates a new AL project using the AL: New Project command."
al,ms-dynamics-smb,17.0.1869541,al_incremental_publish,al_incrementalpublish,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Performs a rapid application publish with debugging. By enabling delta compilation, RAD allows developers to focus on changes made to application objects, reducing build and publish times for large projects. (wrapper around AL: Rapid Application Publish with debugging)."
al,ms-dynamics-smb,17.0.1869541,al_debug_without_publish,al_debugWithoutpublish,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Starts a debug session without publishing (wrapper around AL: Debug without publishing)."
al,ms-dynamics-smb,17.0.1869541,al_build_all,al_buildall,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Builds all AL projects in the workspace including the complete dependency tree. This command builds not just the active project but all dependent projects as well, ensuring the entire solution is compiled together. Use this when you need to build the complete workspace or when working with multi-project solutions. The tool automatically attempts to download required Business Central system symbols before building. Agents should use this for comprehensive workspace builds that include all dependencies."
al,ms-dynamics-smb,17.0.1869541,al_generate_cpu_profile_file,al_generatecpuprofilefile,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Generates a CPU profile file for performance analysis."
al,ms-dynamics-smb,17.0.1869541,al_generate_manifest,al_generatemanifest,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Generates a manifest file for the current AL project."
al,ms-dynamics-smb,17.0.1869541,al_generate_permission_set_for_extension_objects,al_generatepermissionsetforextensionobjects,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Generates a permission set AL object for current extension objects."
al,ms-dynamics-smb,17.0.1869541,al_generate_permission_set_for_extension_objects_as_xml,al_generatepermissionsetforextensionobjectsasxml,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Generates a permission set XML file for current extension objects."
al,ms-dynamics-smb,17.0.1869541,al_open_event_recorder,al_openeventrecorder,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Opens the AL Event Recorder UI (wrapper around AL: Open Event Recorder)."
al,ms-dynamics-smb,17.0.1869541,al_open_page_designer,al_openPageDesigner,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Opens the AL Page Designer (wrapper around AL: Open Page Designer)."
al,ms-dynamics-smb,17.0.1869541,al_package,al_package,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Packages the AL project (wrapper around AL: Package)."
al,ms-dynamics-smb,17.0.1869541,al_publish,al_publish,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Publishes the built AL package to the target environment (wrapper around AL: Publish)."
al,ms-dynamics-smb,17.0.1869541,al_publish_without_debug,al_publishwithoutdebug,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Publishes the AL package without starting a debug session (wrapper around AL: Publish without debugging)."
al,ms-dynamics-smb,17.0.1869541,al_publish_existing_extension,al_publishexistingextension,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Publishes an already packaged existing extension and starts debugging (wrapper around AL: Publish Existing Extension)."
al,ms-dynamics-smb,17.0.1869541,al_view_snapshots,al_viewsnapshots,true,,"Inputs: none. Outputs: { success: boolean, error?: string }. Opens the snapshots view (wrapper around AL: Snapshots)."
mssql,ms-mssql,1.37.1,mssql_show_schema,mssql_show_schema,true,connectionId,"Open an interactive schema designer for a MSSQL database. This tool takes a connection ID as input and opens a graphical view of the database schema, including tables and relationships."
mssql,ms-mssql,1.37.1,mssql_connect,mssql_connect,true,database|profileId|serverName,"Connect to an MSSQL database server using a server name, an optional database name, and an optional profileId. The server name must be retrieved from mssql_list_servers. The profileId should be used ONLY when the user explicitly mentions a profile name, profile ID, or wants to connect 'using profile X'. Returns a connection ID that is used to interact with the database with other mssql tools. If a specific database is given and the connection fails, use mssql_list_databases against a connection to the default database to find the correct database name. The connection ID is a UUID."
mssql,ms-mssql,1.37.1,mssql_disconnect,mssql_disconnect,true,connectionId,Disconnect from a server or specific database. Returns a success message.
mssql,ms-mssql,1.37.1,mssql_list_servers,mssql_list_servers,true,,List all available MSSQL servers. Returns a list of server names.
mssql,ms-mssql,1.37.1,mssql_list_databases,mssql_list_databases,true,connectionId,List all available databases for a connected MSSQL server. Returns a list of database names.
mssql,ms-mssql,1.37.1,mssql_get_connection_details,mssql_get_connection_details,true,connectionId,"Get connection details for a specific connection ID. Returns connection information including server, database, authentication type, and user details."
mssql,ms-mssql,1.37.1,mssql_change_database,mssql_change_database,true,connectionId|database,"Change the database for an existing MSSQL connection. Before changing, consider using mssql_list_databases to show available database options to the user. Disconnects from current database and reconnects to the specified database using the same connection credentials."
mssql,ms-mssql,1.37.1,mssql_list_tables,mssql_list_tables,true,connectionId,List all tables in a specific database for a connected MSSQL server. Returns a list of table names with schema information.
mssql,ms-mssql,1.37.1,mssql_list_schemas,mssql_list_schemas,true,connectionId,List all schemas in a specific database for a connected MSSQL server. Returns a list of schema names.
mssql,ms-mssql,1.37.1,mssql_list_views,mssql_list_views,true,connectionId,List all views in a specific database for a connected MSSQL server. Returns a list of view names with schema information.
mssql,ms-mssql,1.37.1,mssql_list_functions,mssql_list_functions,true,connectionId,List all functions in a specific database for a connected MSSQL server. Returns a list of function names with schema information.
mssql,ms-mssql,1.37.1,mssql_run_query,mssql_run_query,true,connectionId|query|queryIntent|queryTypes,"Execute a SQL query against a connected MSSQL database. Returns query results including row count, column information, and data rows. Use this tool to run SELECT, INSERT, UPDATE, DELETE, or other SQL statements. IMPORTANT: This tool will execute ANY SQL statement provided - be extremely careful with write operations (INSERT, UPDATE, DELETE, CREATE, ALTER, DROP) as they will modify or destroy data. Always verify the query is safe before execution, especially for operations without WHERE clauses or that affect system objects."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_listServers,pgsql_list_servers,true,,"List all database servers registered with the PGSQL extension. Returns a list of objects with the server name, host name, and default database."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_connect,pgsql_connect,true,database|serverName,"Connect to a PostgreSQL database server using a server name and optional database name. The server name is retrieved from pgsql_listServers. Returns a connection ID that is used to interact with the database with other pgsql tools. If a specific database is given and the connection fails, use $pgsql_list_databases against a connection to the default database to find the correct database name. The connection ID is a string formatted as 'pgsql/{server name}[/{database name}]', where if no database name is present it's the default database for the server."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_disconnect,pgsql_disconnect,true,connectionId,Disconnect from a PostgreSQL database server using a connection ID. 
vscode-pgsql,ms-ossdata,1.12.0,pgsql_open_script,pgsql_open_script,true,connectionId|script,"Open a multiline SQL script in an untitled editor connected to a PostgreSQL connection. Prefer pgsql_query and pgsql_modify for single statements; use this tool for larger, multi-statement scripts, batch operations, or when the user must review and run code manually."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_visualizeSchema,pgsql_visualize_schema,true,connectionId,"Open an interactive visualization of the schema for a PostgreSQL database connection. Requires a connectionId from pgsql_connect. This tool opens a graphical view of the database schema, including tables and relationships."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_query,pgsql_query,true,connectionId|query|queryDescription|queryName|validationQueries,"Run a formatted SQL query against a database. Requires a connectionId from the return value of pgsql_connect. This query must not modify the database at all. Can include SELECT, SHOW, EXPLAIN etc. Do not include additional statements, e.g. SET search_path, in this query. It must only be a single, spacious, well formatted query with line breaks and tabs. The statement will be presented to the user, so focus on readability. Returns the results of the query. You MUST include a validation query to check the validity of EVERY literal values used in the SQL query. Do NOT skip this step.\nNote: Always fetch up-to-date database schema context using the pgsql_db_context tool before executing any query to ensure accurate recommendations. This tool is strictly read-only and executes a single statement only. Use EXPLAIN for performance or optimization analysis and include execution plan details. On error, return clear error messages to the user."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_modifyDatabase,pgsql_modify,true,connectionId|statement|statementDescription|statementName,"Modify the database and/or schema by executing SQL statements including DDL (CREATE, ALTER, DROP) and DML (INSERT, UPDATE, DELETE). Useful when designing schemas or inserting data. It must only be a single, spacious, well formatted query with line breaks and tabs. The statement will be presented to the user, so focus on readability. Returns the results of the statement execution, if any.\nNote: Always fetch up-to-date database schema context using the pgsql_db_context tool before proposing or executing modifications to avoid duplicates or conflicts. Ensure explicit user confirmation. On error, return clear and descriptive error messages to the user. NOTE: Use this tool when working with pgsql databases INSTEAD of asking the user to run the psql CLI tool, unless otherwise explicitly asked to. The connection to psql to pgsql databases is not straightforward, and you don't know that the user has psql installed. "
vscode-pgsql,ms-ossdata,1.12.0,database,pgsql_db_context,true,connectionId|objectType|schemaName,"Get context about this database by fetching the CREATE scripts for a specific type of database object or all types. Use this tool to retrieve detailed context about the database objects (e.g. tables, indexes, functions, sequences, comments, ownership, default_privileges, fdw, or all) within a given schema or across all schemas.\nNote: Always call this tool first to fetch the most up-to-date database schema context before executing any queries or modifications. This tool is strictly read-only and prevents duplicate or conflicting operations by ensuring you know the current state."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_listDatabases,pgsql_list_databases,true,connectionId,"List all databases on the connected PostgreSQL server. Use this tool to discover other databases available on the server, given a connection to any database. This is strictly read-only and does not modify any data. Returns a list of database names."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_describeCsv,pgsql_describe_csv,true,csvPath,"Describe the structure and contents of a CSV file using Frictionless. Returns a YAML description of the CSV file, including fields, types, and metadata. Useful for preparing to import CSV data into a database."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_bulkLoadCsv,pgsql_bulk_load_csv,true,connection_id|delimiter|encoding|escape|force_not_null|force_null|header|mapping|mode|null|path|quote|table|transforms,"Bulk‐load CSV file via COPY into a PostgreSQL table. Supports column mapping, optional SQL transforms, truncate-before-insert, and PK-based upsert. Use this to bulk-load CSV data into an existing table.\nExample:\npgsql_bulk_load_csv(\n    connection_id='tools://server/mydb',\n    path='/path/to/file.csv',\n    table='mytable',\n    mapping={'col1': 'col1', 'col2': 'col2'},\n    transforms={'col2': 'src.col2::int'},\n    mode='upsert'\n)"
vscode-pgsql,ms-ossdata,1.12.0,pgsql_getDashboardContext,pgsql_get_dashboard_context,true,dashboardId,"Retrieve the dashboard (metrics session) context: active source, time zone, per-source metricsConfig (resolution, windowMinutes), and a list of metrics (id, label, source, dimensions, subscribed, hasData). Use this FIRST before requesting metric data so you only fetch relevant metrics."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_getMetricData,pgsql_get_metric_data,true,capPerDimension|dashboardId|dimensions|includeEmpty|metricIds,"Fetch batched time-series data for multiple metrics in one call. Supports optional per-dimension cap, per-metric dimension filters, and including metrics with no data yet. Always call pgsql_get_dashboard_context first to choose appropriate metricIds."
vscode-pgsql,ms-ossdata,1.12.0,pgsql_migration_oracle_app,pgsql_migration_oracle_app,true,applicationCodebaseFolder|codingNotesLocationPath|postgresDbConnection|postgresDbName,%pgsql.migration.oracleApp.modelDescription%
vscode-pgsql,ms-ossdata,1.12.0,pgsql_migration_show_report,pgsql_migration_show_report,true,reportPath,%pgsql.migration.showReport.modelDescription%
python,ms-python,2025.20.0,getPythonEnvironmentInfo,get_python_environment_details,true,resourcePath,"This tool will retrieve the details of the Python Environment for the specified file or workspace. The details returned include the 1. Type of Python Environment (conda, venv, etec), 2. Version of Python, 3. List of all installed Python packages with their versions. ALWAYS call configure_python_environment before using this tool."
python,ms-python,2025.20.0,getPythonExecutableCommand,get_python_executable_details,true,resourcePath,"This tool will retrieve the details of the Python Environment for the specified file or workspace. ALWAYS use this tool before executing any Python command in the terminal. This tool returns the details of how to construct the fully qualified path and or command including details such as arguments required to run Python in a terminal. Note: Instead of executing `python --version` or `python -c 'import sys; print(sys.executable)'`, use this tool to get the Python executable path to replace the `python` command. E.g. instead of using `python -c 'import sys; print(sys.executable)'`, use this tool to build the command `conda run -n <env_name> -c 'import sys; print(sys.executable)'`. ALWAYS call configure_python_environment before using this tool."
python,ms-python,2025.20.0,installPythonPackage,install_python_packages,true,packageList|resourcePath,Installs Python packages in the given workspace. Use this tool to install Python packages in the user's chosen Python environment. ALWAYS call configure_python_environment before using this tool.
python,ms-python,2025.20.0,configurePythonEnvironment,configure_python_environment,true,resourcePath,This tool configures a Python environment in the given workspace. ALWAYS Use this tool to set up the user's chosen environment and ALWAYS call this tool before using any other Python related tools or running any Python command in the terminal.
python,ms-python,2025.20.0,,create_virtual_environment,false,packageList|resourcePath,This tool will create a Virual Environment
python,ms-python,2025.20.0,,selectEnvironment,false,resourcePath,This tool will prompt the user to select an existing Python Environment
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeSchemaExtractor,scope-studio_schemaExtractor,true,filePath|filePathType|lmRequest|userQuery,"Retrieves schema of a single file from source metadata without applying interence. Do not use it to retrieve schema of a fileset or streamset. It intelligently handles both local and SCOPE supported remote files with the following capabilities: Automatically infers meaningful column names\n- Outputs well-formatted, readable schema definitions as comma-separated, properly indented code blocks for readability\n.The tool streamlines the process of creating SCOPE data extraction code by eliminating manual schema definition and reducing the potential for syntax errors in EXTRACT statements."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeSearchFileOnCluster,scope-studio_searchFilesOnCluster,true,filePath|lmRequest|userQuery,"Returns the file(s) that exist on cluster and match those paths using its own internal logic. The tool is designed to be used in conjunction with other tools, such as scopeSchemaExtractor, to provide a complete solution for working with files on the cluster."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeCompileScript,scope-studio_compileScript,true,lmRequest|scriptPath|userQuery,"Compile a SCOPE .script using internal logic only—never delegate to external or built-in compilers. On failure, return clear diagnostics and the language model must apply minimal, safe edits to the script in-place and call this tool again to recompile. Continue this diagnose → fix → retry loop until the script compiles or no further automatic fixes are possible. Prefer precise edits that preserve intent; ask the user only when required context is ambiguous. All SCOPE script compilations must use this tool exclusively."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeSubmit,scope-studio_openSubmissionDialog,true,analyticUnit|analyticsAccount|lmRequest|scriptPath|userQuery,"Use this tool exclusively as the final step of a SCOPE submission task. It opens the SCOPE Studio submission dialog where users configure job parameters, choose target clusters, and submit the specified SCOPE .script. Do not perform compilation or pre-validation before invoking this tool; assume the script and context have already been prepared by prior steps. Only invoke when the user's intent is to submit to a cluster."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeGetExternalParameters,scope-studio_getExternalParameters,true,lmRequest|paramKey|paramModel|scriptPath|userQuery,"Analyzes a SCOPE .script file to identify and extract all external parameters defined within the script. External parameters are dynamic placeholders (formatted as @@PARAMETER_NAME@@) that allow scripts to accept runtime values without hardcoding them, enabling reusability and flexibility across different execution contexts.\n\nThe tool supports two parameter models:\n\n1. **Local Parameters ('local')** - Used for compile-time validation and local execution environments. These parameters are resolved during script compilation and local testing phases.\n\n2. **Cluster Parameters ('cluster')** - Used for distributed execution when submitting jobs to SCOPE clusters. These parameters are resolved at runtime on the cluster infrastructure and support the full range of cluster-specific features like parameter substitution via NebulaCommandLine.txt.\n\nWhen no model is specified, the tool defaults to 'local' parameters. The tool returns a comprehensive list of all external parameters found in the script, including their names, usage contexts, and any associated metadata that helps users understand the required inputs for successful script execution.\n\nThis functionality is essential for script authoring, documentation and validation where understanding parameter requirements is crucial before script compilation or submission."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeGenerateCode,scope-studio_scopeGenerateCode,true,context|description|lmRequest|userQuery,"This tool generates SCOPE scripts and code snippets based on user descriptions, leveraging specialized SCOPE knowledge and syntax. It should be the first choice for any SCOPE code generation request, ensuring proper syntax, best practices, and compatibility with SCOPE's distributed computing environment."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeQnA,scope-studio_scopeQnA,true,description|lmRequest|userQuery,"Use this tool as the primary resource for SCOPE-related questions and answers. For specific SCOPE code generation requests, use the 'scopeGenerateCode' tool instead."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeJobDetails,scope-studio_jobview,true,jobUrl|lmRequest|userQuery,"Given a SCOPE job url, The tool should be used to get the job details of a SCOPE job. The job details can be used to understand the job running status, error, inputs, outputs, and other details. And it can be used to diff two jobs. The inputs and outputs item follows the format:'- <filepath> size: 153.00 MB, type: FileSet|UnstructuredStream|StructuredStream|DeltaLakeTable children: 100'. If the type is FileSet, the 'children' is the number of files in the FileSet and size is the total size, if the type is UnstructuredStream, StructuredStream or DeltaLakeTable, the children does not exist. The error content may contain the failed vertex named like SV1_Extact which can be used to locate the source code."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeGetCurrentJobUrl,scope-studio_getCurrentSCOPEJobUrl,true,lmRequest|userQuery,"This tool is used to get the current opened or 'this' SCOPE job URL opened in SCOPE Studio VSCode. For example, if the user is viewing a job in the SCOPE job view, this tool should return the URL of that job. The Job URL can be used to get/summarize the job view and compare two jobs. It will returns several candidated job URLs if there are multiple SCOPE jobs opened in the current VSCode window but no active SCOPE jobs."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeMapStageToCodeSnippet,scope-studio_locateSourceScript,true,jobUrl|vertexName,"This tool is used to map a SCOPE job stage (vertex) to its corresponding source code snippet in the SCOPE script. Given a vertex name and a SCOPE job URL, the tool retrieves the source code line and source code file path."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeScriptExplanation,scope-studio_scopeScriptExplanation,true,content|contentType|context|lmRequest|userQuery,"This tool analyzes SCOPE scripts and provides comprehensive explanations of their syntax and logic. Use for understanding existing SCOPE. Do not use for code generation or compilation.\n\nNote: If output lacks specifics or mentions unknown dependencies, collect additional context and re-invoke."
scope-vscode-ext,ms-ssdevteam,1.5.0,scopeScriptDebugging,scope-studio_scopeScriptDebugging,true,content|contentType|context|error|lmRequest|userQuery,"This tool helps debug SCOPE scripts to identify and resolve issues, compilation errors, and runtime problems. Use for troubleshooting failing scripts or understanding error messages. Do not use for code generation or basic explanations.\n\nNote: If debugging output is generic or suggests missing dependencies, gather additional context and re-invoke.\n\nRequires SCOPE Copilot services and works best with complete error information."
datawrangler,ms-toolsai,1.24.0,,get_variable_data,false,,Get the data for a variable
jupyter,ms-toolsai,2025.9.1,configureNotebook,configure_notebook,true,filePath,Tool used to configure a Notebook. ALWAYS use this tool before running/executing any Notebook Cells for the first time or before listing/installing packages in Notebooks for the first time. I.e. there is no need to use this tool more than once for the same notebook.
jupyter,ms-toolsai,2025.9.1,,configure_python_notebook,false,filePath,Selects a Python Kernel and starts it.
jupyter,ms-toolsai,2025.9.1,,configure_non_python_notebook,false,filePath,Selects the Notebook Kernel and starts it.
jupyter,ms-toolsai,2025.9.1,listNotebookPackages,notebook_list_packages,true,filePath,"List the installed packages that are currently available in the selected kernel for a notebook editor. This tool should be used when working with a jupyter notebook with python code cells. Do not use this tool if not already working with a notebook, or for a language other than python. If the tool configure_notebooks exists, then ensure to call configure_notebooks before using this tool."
jupyter,ms-toolsai,2025.9.1,installNotebookPackages,notebook_install_packages,true,filePath|packageList,"Install a list of packages on a notebook kernel to be used within that notebook. This tool should be used when working with a jupyter notebook with python code cells. Do not use this tool if not already working with a notebook, or for a language other than python. If the tool configure_notebooks exists, then ensure to call configure_notebooks before using this tool."
jupyter,ms-toolsai,2025.9.1,restartNotebookKernel,restart_notebook_kernel,false,filePath|reason,"Tool used to restart a Notebook kernel. Some packages require a restart of the kernel after being installed. Use this if after installing a package if you know the package requires a restart, or if still getting an error about a missing package after installing."
copilot-mermaid-diagram,ms-vscode,0.0.3,,mermAId_get_symbol_definition,false,fileString|symbols,"Given a file path string and a list of symbols, this model returns the definitions of the specified symbols. For example, if the file 'x.py' is provided and the symbol 'abc' is requested, the model will find 'abc' in 'x.py' and return its definition from the file where it is actually defined, such as 'y.py'."
copilot-mermaid-diagram,ms-vscode,0.0.3,,mermAId_gather_symbols,false,symbols,"This tool will accept a list of symbols and attempt to gather information about those symbols from the entire workspace. It can provide the location, parent symbol, and the the symbol's content."
cpptools,ms-vscode,1.29.3,cpp,cpptools-lmtool-configuration,true,,"For the active C or C++ file, this tool provides: the language (C, C++, or CUDA), the language standard version (such as C++11, C++14, C++17, or C++20), the compiler (such as GCC, Clang, or MSVC), the target platform (such as x86, x64, or ARM), and the target architecture (such as 32-bit or 64-bit)."
vscode-commander,ms-vscode,0.2.0,,searchConfigurations,false,keywords,"Use this tool to search for settings and commands. This will return all those settings and commands that contain the provided keywords. Each result will have a type to know if it is a setting or a command. A setting includes the description, default value, current value and other possible values and a command includes the description and possible arguments to be used to invoke the command."
vscode-commander,ms-vscode,0.2.0,,updateSettings,false,,"Use this tool to update settings. This tool support bulk updates, so you can update multiple settings at once. Provide the settings to update as a key value pair of setting id and new value. The value of the setting must follow the setting schema."
vscode-commander,ms-vscode,0.2.0,,runCommand,false,argumentsArray|key,Use this tool to run a command. This tool will run the command with the provided arguments if the command supports them. The arguments must follow the command arguments schema provided by the searchConfigurations.
vscode-copilot-data-analysis,ms-vscode,0.2.2,,dachat_data_findFiles,false,pattern,Search for files in the current workspace
vscode-copilot-data-analysis,ms-vscode,0.2.2,,dachat_data_runPython,false,code|reason,"Execute Python code locally using Pyodide, providing access to Python's extensive functionality. This tool extends the LLM's capabilities by allowing it to run Python code for a wide range of computational tasks and data manipulations that it cannot perform directly. When you know the workspace folder path and the file path, use the relative path to the file when generating code."
vscode-copilot-data-analysis,ms-vscode,0.2.2,,dachat_data_installPythonPackage,false,package,Install missing Python packages in the tool used to run Python code using Pyodide.
vscode-websearchforcopilot,ms-vscode,0.2.2025121101,websearch,vscode-websearchforcopilot_webSearch,true,query,%lmTool.webSearch.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_get_agent_code_gen_best_practices,aitk-get_agent_code_gen_best_practices,true,moreIntent|requiredHost,%languageModelTool.ai-mlstudio.getAgentCodeGenBestPractices.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_get_ai_model_guidance,aitk-get_ai_model_guidance,true,currentModel|moreIntent|preferredHost,%languageModelTool.ai-mlstudio.getAiModelGuidance.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_get_agent_model_code_sample,aitk-get_agent_model_code_sample,true,category|host|language,%languageModelTool.ai-mlstudio.getAgentModelCodeSample.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_get_tracing_code_gen_best_practices,aitk-get_tracing_code_gen_best_practices,true,isForVisualization|language|sdk,%languageModelTool.ai-mlstudio.getTracingCodeGenBestPractices.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_get_evaluation_code_gen_best_practices,aitk-get_evaluation_code_gen_best_practices,true,dataset|evaluationMetrics|evaluationSdk|language,%languageModelTool.ai-mlstudio.getEvaluationCodeGenBestPractices.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_convert_declarative_agent_to_code,aitk-convert_declarative_agent_to_code,true,language,%languageModelTool.ai-mlstudio.convertDeclarativeAgentToCode.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_evaluation_agent_runner_best_practices,aitk-evaluation_agent_runner_best_practices,true,sdk,%languageModelTool.ai-mlstudio.getEvaluationAgentRunnerBestPractices.modelDescription%
windows-ai-studio,ms-windows-ai-studio,0.26.4,aitk_evaluation_planner,aitk-evaluation_planner,true,,%languageModelTool.ai-mlstudio.evaluationPlanner.modelDescription%
nab-al-tools,nabsolutions,1.44.0,refreshXlf,refreshXlf,true,filePath|generatedXlfFilePath,This tool refreshes and synchronizes a XLF language file using the generated XLF file. It takes two parameters: the path to the generated XLF file (named <appname>.g.xlf) and the path to the target XLF file to be refreshed. The tool synchronizes the target XLF file with the latest changes from the generated file by preserving existing translations while adding new translation units from the generated file. It maintains the state of translated units and sorts the file according to the g.xlf structure. This synchronization process ensures that the translation file stays up-to-date with the latest AL code changes without losing existing translation work.
nab-al-tools,nabsolutions,1.44.0,getTextsToTranslate,getTextsToTranslate,true,filePath|limit|offset|sourceLanguageFilePath,"This tool retrieves untranslated texts from a specified XLF file. It returns a JSON object containing: texts (array of translation objects with id, source text, source language, context, maxLength, and comments), totalUntranslatedCount (the total number of untranslated texts in the file), and returnedCount (the number of texts returned in this batch). Each text object includes: id (unique identifier), source text (to be translated), source language, context (describes the context of what is being translated, such as 'Table Customer - Field Name - Property Caption' or 'Page Sales Order - Action Post - Property Caption'), maxLength (character limit if applicable), and contextual comments (explains placeholders like %1, %2, %3 etc.). The context field provides crucial context by identifying the specific AL object (table, page, codeunit, etc.), element (field, action, control), and property (caption, tooltip, etc.) being translated, enabling more accurate and contextually appropriate translations. The totalUntranslatedCount and returnedCount fields help track overall translation progress and pagination. This tool streamlines the translation workflow by identifying which texts need translation and providing comprehensive context for accurate localization."
nab-al-tools,nabsolutions,1.44.0,getTranslatedTextsMap,getTranslatedTextsMap,true,filePath|limit|offset|sourceLanguageFilePath,"This tool retrieves previously translated texts from a specified XLF file as a translation map. It returns a JSON array of translation objects, each containing: sourceText (the original text), targetTexts (an array of one or more translated versions), and sourceLanguage. This unique format groups all translations by their source text, which is particularly useful when the same source text has been translated differently in various contexts or has multiple acceptable translations. For example: {'sourceText': 'Total', 'targetTexts': ['Total', 'Totalt'], 'sourceLanguage': 'en-US'}. This tool helps maintain translation consistency by providing access to existing translation patterns and terminology variations, allowing you to reference previously translated phrases and understand translation choices when working on new content."
nab-al-tools,nabsolutions,1.44.0,getTextsByKeyword,getTextsByKeyword,true,caseSensitive|filePath|isRegex|keyword|limit|offset|searchInTarget,"This tool searches source or target texts in a specified XLF file for a given keyword or regular expression and returns matching translation units. By default, it searches in source texts (includes untranslated units). When searchInTarget is true, it searches only in target texts (excludes untranslated units). Use this to discover how a specific word or phrase is used across the application and to inspect how it has been translated in different contexts."
nab-al-tools,nabsolutions,1.44.0,getTranslatedTextsByState,getTranslatedTextsByState,true,filePath|limit|offset|sourceLanguageFilePath|sourceText|translationStateFilter,"This tool retrieves translated texts from a specified XLF file, filtered by their translation state. It returns a JSON array of objects containing: id (unique identifier), source text, source language, target text, context (describes the context of what is being translated, such as 'Table Customer - Field Name - Property Caption' or 'Page Sales Order - Action Post - Property Caption'), translation state, review reason (if available), maxLength (character limit if applicable), and contextual comments (explains placeholders like %1, %2, %3 etc.). The context field provides crucial context by identifying the specific AL object (table, page, codeunit, etc.), element (field, action, control), and property (caption, tooltip, etc.) being translated, enabling better understanding of existing translations and their business context. This tool streamlines the translation workflow by allowing you to filter translations by their state (e.g., 'needs-review', 'translated', 'final', 'signed-off') and providing comprehensive context for accurate localization."
nab-al-tools,nabsolutions,1.44.0,saveTranslatedTexts,saveTranslatedTexts,true,filePath|translations,"This tool writes translated texts to a specified XLF file. It accepts an array of translation objects, each containing a unique identifier and the translated text to be saved. For optimal performance, submit multiple translations in a single batch rather than making individual calls. This tool enables efficient updating of XLF files with new or revised translations, maintaining the integrity of the XLIFF format while updating only the specified translation units."
nab-al-tools,nabsolutions,1.44.0,createLanguageXlf,createLanguageXlf,true,generatedXlfFilePath|matchBaseAppTranslation|targetLanguageCode,"This tool creates a new XLF file for a specified target language based on a generated XLF file. It takes a generated XLF file path (*.g.xlf), a target language code, and optional parameters to match translations from the base app. The tool creates a new XLF file ready for translation, optionally pre-populated with matching translations from Microsoft's base application. This streamlines the localization workflow by providing a foundation for translating AL extensions to new languages."
